Isotope	State	Intensity (pps)	Proton current	Ion source	Info
70Yb	Yb159g	4.20E8	70	Re surface	
63Eu	Eu142m1	8.70E7	70	Re surface	
63Eu	Eu142g	2.50E6	70	Re surface	
70Yb	Yb153g	3.80E4	70	Re surface	
69Tm	Tm153g	1.30E5	70	Re surface	
68Er	Er153g	3.20E6	70	Re surface	
67Ho	Ho157g	1.60E8	70	TRILIS	
67Ho	Ho158g	2.90E8	70	TRILIS	
66Dy	Dy157g	4.80E7	70	TRILIS	
67Ho	Ho156g	9.80E7	70	Re surface	
63Eu	Eu142m1	1.30E8	70	Re surface	
70Yb	Yb156g	2.50E7	70	Re surface	
67Ho	Ho156g	7.00E8	70	TRILIS	
67Ho	Ho153g	3.40E7	70	TRILIS	
67Ho	Ho151g	7.50E6	70	TRILIS	
67Ho	Ho151m1	1.50E6	70	TRILIS	
66Dy	Dy151g	5.50E7	70	Re surface	
67Ho	Ho149g	9.70E5	70	TRILIS	
67Ho	Ho153g	2.50E7	70	TRILIS	
39Y	Y86g	7.20E4	70	Re surface	
39Y	Y86m1	3.90E4	70	Re surface	
38Sr	Sr83g	3.00E5	70	Re surface	
39Y	Y86g	8.80E4	70	Re surface	
39Y	Y86m1	7.80E4	70	Re surface	
38Sr	Sr83g	2.80E5	70	Re surface	Sr83F19	Sr83F19
66Dy	Dy153g	9.60E7	70	Re surface	
66Dy	Dy153g	4.30E8	70	TRILIS	
67Ho	Ho153g	3.60E6	70	Re surface	
66Dy	Dy151g	7.80E7	70	TRILIS	
66Dy	Dy149g	3.00E7	70	TRILIS	
66Dy	Dy148g	1.80E7	70	TRILIS	
38Sr	Sr96g	3.40E3	70	Re surface	
38Sr	Sr81g	9.70E3	70	Re surface	81Sr19F
39Y	Y84m1	6.50E3	70	Re surface	84Y16O
3Li	Li8g	6.30E8	70	Re surface	
3Li	Li9g	6.90E7	70	Re surface	
3Li	Li11g	2.10E4	70	Re surface	
4Be	Be7g	1.50E7	45	TRILIS	
4Be	Be12g	3.20E2	45	TRILIS	
3Li	Li8g	2.20E8	45	Re surface	
3Li	Li11g	3.60E3	45	Re surface	
4Be	Be11g	2.40E5	45	TRILIS	
4Be	Be11g	2.00E5	45	TRILIS	
3Li	Li8g	2.60E8	45	Re surface	
3Li	Li9g	3.30E7	45	Re surface	
3Li	Li11g	4.90E3	45	Re surface	
43Tc	Tc99m1	4.20E3	55	TRILIS	
37Rb	Rb78m1	2.00E6	50	Re surface	
37Rb	Rb80g	5.60E7	50	Re surface	
37Rb	Rb78m1	3.40E4	50	Re surface	78mRb14+
37Rb	Rb80g	5.90E5	50	Re surface	80Rb13+
37Rb	Rb80g	9.40E5	50	Re surface	80Rb14+
55Cs	Cs124m1	3.00E4	50	Re surface	124mCs18+
55Cs	Cs124m1	4.40E4	50	Re surface	124mCs19+
55Cs	Cs124m1	5.10E4	50	Re surface	124mCs20+
55Cs	Cs124m1	5.20E4	50	Re surface	124mCs21+
55Cs	Cs124m1	4.30E4	50	Re surface	124mCs22+
55Cs	Cs124m1	3.70E4	50	Re surface	124mCs23+
55Cs	Cs124m1	2.60E4	50	Re surface	124mCs24+
55Cs	Cs124g	1.20E6	50	Re surface	124gCs18+
55Cs	Cs124g	1.60E6	50	Re surface	124gCs19+
55Cs	Cs124g	1.90E6	50	Re surface	124gCs20+
55Cs	Cs124g	2.00E6	50	Re surface	124gCs21+
55Cs	Cs124g	1.60E6	50	Re surface	124gCs22+
55Cs	Cs124g	1.50E6	50	Re surface	124gCs23+
55Cs	Cs124g	1.10E6	50	Re surface	124gCs24+
67Ho	Ho156g	1.90E8	50	Re surface	
19K	K48g	1.40E5	50	Re surface	
